url,Picture URL,Brand,Product Name,Model,Model Name,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Display Size,Screen Type,Resolution Standard,No of USB Port,No of HDMI Port,Smart TV,Color,Speaker Output RMS,Number of Speakers,Resolution (pixels),Power Consumption,Analog Audio Input,Width x Height x Depth (without stand),Built In Wi-Fi,Weight (without stand),Width x Height x Depth (with stand),Refresh Rate (Hz),Launch Year,Weight (with stand),Curve TV,Aspect Ratio,Contrast Ratio,Touch Remote,RF Connectivity Input,3D,Component In (RGB Cable),View Angle,Sound Technology,Ethernet (RJ45),Speaker Type,RF Capable,Headphone Jack,Supported Video Formats,Operating System,Series,Brightness,Surround Sound,other_info
https://gadgets.ndtv.com/vu-75-inch-led-ultra-hd-4k-tv-vu-s-oauhd75-11362,https://i.gadgets360cdn.com/products/televisions/large/1548154943_832_vu_75-inch-led-ultra-hd-4k-tv-vu-s-oauhd75.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu,Vu 75 Inches Ultra HD (4K) LED Smart TV (VU/S/OAUHD75),75 Inch LED Ultra HD (4K) TV (VU/S/OAUHD75),VU/S/OAUHD75,"₹ 108,000",35,9,3,6,17,66,75 inch,LED,4K,2,3,Yes,Black,30 W,2,3840x2160,"290 W, 0.5 W (Standby)",Yes,1677.8 mm x 961 mm x 93.9 mm (minimum - 93.9 mm),Yes,35.1 kg,1677.8 mm x 1019.9 mm x 335 mm,60,2018,VESA Wall Mount Dimensions (Horizontal/Vertical): 400 x 400 mm,No,16:09,10000000:1 (Static). 10000000:1 (Dynamic),No,Analogue and Digital,No,Component or Y Pb (Cb) Pr (Cr): 1,178 Degree,DTS and Dolby,1,Box Speaker,Yes,No,"MPEG1, MPEG2, MPEG4, H.263, H.264, H.265, AVS, MVC, VP8, VP9",Android,Official Android,450 nits,DTS True Surround,"{'Wi-Fi Type': 'IEEE 802.11 b, g, n, ac/Dual Band - 2.4 GHz and 5.0 GHz', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi-end Quad Core Processor', 'Supported App - Youtube': 'Yes', 'Digital Audio Output': 'Optical', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Using HDMI', 'Storage Capacity': '16GB', 'Audio Out': 'Optical', 'PC D-sub': 'HDMI', 'RAM': '2.5GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali T860', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-65-inch-led-ultra-hd-4k-tv-vu-s-oauhd65-11361,https://i.gadgets360cdn.com/products/televisions/large/1548154941_832_vu_65-inch-led-ultra-hd-4k-tv-vu-s-oauhd65.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu,Vu 65 Inches Ultra HD (4K) LED Smart TV (VU/S/OAUHD65),65 Inch LED Ultra HD (4K) TV (VU/S/OAUHD65),VU/S/OAUHD65,"₹ 75,999",46,17,2,15,9,57,65 inch,LED,4K,2,3,Yes,Black,24 W,2,3840x2160,"200 W, 0.5 W (Standby)",Yes,1466.7 mm x 851.5 mm x 91.4 mm (minimum - 91.4 mm),Yes,22 kg,1466.7 mm x 912.8 mm x 318 mm,60,2018,VESA Wall Mount Dimensions (Horizontal/Vertical): 400 x 400 mm,No,16:09,10000000:1 (Static). 10000000:1 (Dynamic),No,Analogue and Digital,No,Component or Y Pb (Cb) Pr (Cr): 1,178 Degree,DTS and Dolby,1,Box Speaker,Yes,No,"MPEG1, MPEG2, MPEG4, H.263, H.264, H.265, AVS, MVC, VP8, VP9",Android,Official Android,450 nits,DTS True Surround,"{'Wi-Fi Type': 'IEEE 802.11 b, g, n, ac/Dual Band - 2.4 GHz and 5.0 GHz', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi-end Quad Core Processor', 'Supported App - Youtube': 'Yes', 'Digital Audio Output': 'Optical', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Using HDMI', 'Storage Capacity': '16GB', 'Audio Out': 'Optical', 'PC D-sub': 'HDMI', 'RAM': '2.5GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali T860', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/micromax-40-inch-led-full-hd-tv-40-canvas-3-9345,https://i.gadgets360cdn.com/products/televisions/large/1548153151_832_micromax_40-inch-led-full-hd-tv-40-canvas-3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax,Micromax 40 Inches Full HD LED Smart TV (40 CANVAS 3),40 Inch LED Full HD TV (40 CANVAS 3),40 CANVAS 3,"₹ 17,999",365,7,3,10,22,58,40 inch,LED,Full-HD,2,3,Yes,Matt Grey,24 W,2,1920x1080,"65 W, 1 W (Standby)",Yes,905 mm x 518 mm x 85 mm,Yes,,905 mm x 568 mm x 200 mm,60,2018,,No,16:09,5000:01:00 (Static). 16:09 (Dynamic),No,Yes,No,Yes,178 Degree,Class D Amp With Stereo Digital Processing,1,Box,Yes,Yes,"MPEG, MP4, AVI",Android,Canvas,250 nits,Yes,"{'Wi-Fi Type': '802.11b/g/n', 'Supported Audio Formats': 'MP3, AAC', 'Picture Engine': 'Image Analysis With NAise Reduction', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Plastic', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '5.5GB', 'Audio Out': 'No', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/micromax-32-inch-led-hd-ready-tv-32-canvas-3-9093,https://i.gadgets360cdn.com/products/televisions/large/1548152916_832_micromax_32-inch-led-hd-ready-tv-32-canvas-3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax,Micromax 32 Inches HD Ready LED Smart TV (32 CANVAS 3),32 Inch LED HD Ready TV (32 CANVAS 3),32 CANVAS 3,"₹ 11,999",585,7,2,6,24,60,32 inch,LED,HD-Ready,2,3,Yes,Matt Grey,24 W,2,1366x768,"45 W, 1 W (Standby)",Yes,728 mm x 433 mm x 85 mm,Yes,,728 mm x 476 mm x 200 mm,60,2018,,No,16:09,1200:01:00 (Static). 16:09 (Dynamic),No,Yes,No,Yes,178 Degree,Class D Amp With Stereo Digital Processing,1,Box,Yes,Yes,"MPEG, MP4, AVI",Android,Canvas,250 nits,Yes,"{'Wi-Fi Type': '802.11b/g/n', 'Supported Audio Formats': 'MP3, AAC', 'Picture Engine': 'Image Analysis With NAise Reduction', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Plastic', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '5.5GB', 'Audio Out': 'No', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/micromax-50-inch-led-full-hd-tv-50-canvas-3-9718,https://i.gadgets360cdn.com/products/televisions/large/1548153508_832_micromax_50-inch-led-full-hd-tv-50-canvas-3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax,Micromax 50 Inches Full HD LED Smart TV (50 CANVAS 3),50 Inch LED Full HD TV (50 CANVAS 3),50 CANVAS 3,"₹ 27,499",106,10,4,8,18,59,50 inch,LED,Full-HD,2,3,Yes,Silver,24 W,2,1920x1080,"75 W, 1 W (Standby)",Yes,1121 mm x 652 mm x 85 mm,Yes,,1121 mm x 703 mm x 210 mm,60,2018,,No,16:09,3000:01:00 (Static). 16:09 (Dynamic),No,Yes,No,Yes,178 Degree,Class D Amp With Stereo Digital Processing,1,Neodymium Speakers,Yes,Yes,"MPEG, MP4, AVI",Android,Canvas,270 nits,Yes,"{'Wi-Fi Type': '802.11b/g/n', 'Supported Audio Formats': 'MP3, AAC', 'Picture Engine': 'Image Analysis With NAise Reduction', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Plastic', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '5.5GB', 'Audio Out': 'No', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/iffalcon-55-inch-led-ultra-hd-4k-tv-55k2a-9798,https://i.gadgets360cdn.com/products/televisions/large/1548153579_832_iffalcon_55-inch-led-ultra-hd-4k-tv-55k2a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iFFalcon,"Iffalcon 55 Inches Ultra HD (4K) LED Smart TV (55K2A, Black)",55 Inch LED Ultra HD (4K) TV (55K2A),55K2A,"₹ 36,999",997,12,3,5,22,58,55 inch,LED,4K,2,4,Yes,Black,16 W,2,3840x2160,"130 W, 0.5 W (Standby)",Yes,73.7 mm x 719.9 mm x 719.9 mm,Yes,13.8 kg,1243.6 mm x 778.7 mm x 214.6 mm,60,2018,No,No,,6000:1 Static,No,Yes,No,,178 Degree,Dolby/DTS,1,Stereo Box Speaker,Yes,Yes,"H.265, H.264, VP9, MPEG1, MPEG2, MPEG4, VC1, WMV, TS, MKV, AVI, MP4",Android,K2A,280 nits,Yes,"{'Wi-Fi Type': '802.11 a/b/g/n 2.4 GHz/5 GHz', 'Supported Audio Formats': 'MP3, WMA', 'Picture Engine': 'Mali T860 MP2', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Stand Type': 'birds leg', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core A53', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'No', 'Storage Capacity': '16GB', 'Audio Out': 'Headphone only', 'PC D-sub': 'No', 'RAM': '2.5GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core Mali', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-55-inch-led-ultra-hd-4k-tv-premium-55-oa-price-in-india-92077,https://i.gadgets360cdn.com/products/large/vu-55-oa-55-oa-v1-original-imafqfjrx7zze7ph-416x266-1587537613.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu,"Vu 55 Inches Ultra HD (4K) LED Smart TV (Premium 55-OA, Black)",55 Inch LED Ultra HD (4K) TV (Premium 55-OA),55-OA,"₹ 36,999","1,027",7,3,7,23,61,55 inch,LED,4K,2,3,Yes,Black,24W,2,3840x2160,"160W, 0.5W (Standby)",Yes,124.2cm x 71.8cm x 7.3cm,Yes,14kg,124.2cm x 73.5cm x 23.9cm,60,2019,14.3kg,,"16:9, 4:3, Auto, Panoramic, Direct",10000000:1 (Static),,Yes,,No,178 degree,"Total Sonics, Dolby Digital, Total Volume, Dolby Digital Plus, dbx-tv, Total Surround",1,Box Speakers,Yes,Yes,"MPEG1, MPEG2, MPEG4, H.263, H.264, H.265, AVS, MVC, VP8, VP9",Android,Premium,450 nits,"Total Sonics, dbx-tv, Total Surround","{'Wi-Fi Type': '802.11ac', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi End Quad Core Processor', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'No', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '16GB', 'Audio Out': 'Optical, ARC, Headhphone Out', 'PC D-sub': 'Yes', 'RAM': '1.75GB', 'Composite In (Audio Video Cable)': 'No', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali-450 MP', 'App Store Type': 'Google Play Store', 'Other Power Features': 'Environmental Condition - Humidity: 20% to 80% RH, Environmental Condition Temperature: 5 to 45 DegreeC'}"
https://gadgets.ndtv.com/micromax-49-inch-led-ultra-hd-4k-tv-49ta7000uhd-price-in-india-92099,https://i.gadgets360cdn.com/products/large/micromax-55ta7000uhd-original-imaffg4pngvpvm4x-416x245-1588062193.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax,"Micromax 49 Inches Ultra HD (4K) LED Smart TV (49TA7000UHD, Black)",49 Inch LED Ultra HD (4K) TV (49TA7000UHD),49TA7000UHD,"₹ 33,999",27,7,4,0,26,63,49 inch,LED,4K,2,3,Yes,Black,30W,2,3840x2160,"130W, 0.5W (Standby)",Yes,109.2cm x 66.5cm x 25.8cm,Yes,,109.2cm x 72.8cm x 26.3cm,60,2018,,No,16:09,4000:01:00 (Static),No,Yes,No,No,178 Degree,Class D Amplifier with Digital Signal Processing (DSB),1,Box Type,Yes,Yes,MPEG,Android,,350 nits,Yes,"{'Wi-Fi Type': '802.11a/b/g/n/ac; 2.4G+5G', 'Supported Audio Formats': 'MP3, AAC', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Metal', 'Screen Mirroring': 'Yes', 'Processor': 'Quadcore', 'Number of Cores': 'dual-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'No', 'Storage Capacity': '16GB', 'Audio Out': 'No', 'PC D-sub': 'No', 'RAM': '2.5GB', 'Composite In (Audio Video Cable)': 'No', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'App Store Type': 'Google Play Store', 'NFC Support': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-86-inch-led-ultra-hd-4k-tv-pixelight-hdr-vu-c-pxuhd86-price-in-india-92076,https://i.gadgets360cdn.com/products/large/vu-86-inch-led-ultra-hd-4k-tv-pixelight-hdr-vu-c-pxuhd86-1311x800-1591796840.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu,"Vu 86 Inches Ultra HD (4K) LED Smart TV (Pixelight HDR VU/C/PXUHD86, Black)",86 Inch LED Ultra HD (4K) TV (Pixelight HDR VU/C/PXUHD86),VU/C/PXUHD86,"₹ 400,000",,100,0,0,0,0,86 inch,LED,4K,2,3,Yes,Black,39W,3,3840x2160,"300W, 0.5W (Standby)",Yes,1938.4mm x 1118.6mm x 93.2mm,Yes,52.4kg,1938.4mm x 1158.6mm x 341.9mm,60,2018,55.2kg,,16:09,10000000:1 (Static) 10000000:1 (Dynamic),,Analogue,,Component or Y Pb (Cb) Pr (Cr): 1,178 degree,Dolby,1,Box Speaker,Yes,Yes,"MPEG1, MPEG2, MPEG4, H.263, H.264, H.265, AVS, MVC, VP8, VP9",Android,Pixelight HDR,450 nits,,"{'Wi-Fi Type': 'IEEE 802.11 b, g, n, ac/2.4 GHz', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi-end Dual Core Processor', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'No', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Battery Type': 'AAA', 'Number of Cores': 'dual-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '4GB', 'PC D-sub': 'Yes', 'RAM': '1.5GB', 'Composite In (Audio Video Cable)': 'Component or Y Pb (Cb) Pr (Cr): 1', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali 450', 'App Store Type': 'Huan, Opera', 'NFC Support': 'No', 'Stand Features': 'Metal'}"
https://gadgets.ndtv.com/micromax-40-inch-led-full-hd-tv-40cam6sfhd-price-in-india-91809,https://i.gadgets360cdn.com/products/large/micromax-40cam6sfhd-original-imafhyaa5tp96qsm-416x247-1584786663.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax,"Micromax 40 Inches Full HD LED Smart TV (40CAM6SFHD, Black)",40 Inch LED Full HD TV (40CAM6SFHD),40CAM6SFHD,"₹ 18,999",800,8,3,8,23,59,40 inch,LED,,1,2,Yes,Black,20W,2,1920x1080,"55W, 0.5W (Standby)",Yes,,Yes,,,60,2019,,No,16:9,5000:1 (Static),No,Yes,No,Yes,178 Degree,Dolby Audio,1,Box,Yes,Yes,MPEG,Android,,250 nits,Yes,"{'Supported Audio Formats': 'MP3', 'Picture Engine': 'CLCP', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'No', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Screen Mirroring': 'Yes', 'Processor': 'Quad Core', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'No', 'Storage Capacity': '8GB', 'Audio Out': 'Yes', 'PC D-sub': 'No', 'RAM': '1GB', 'Composite In (Audio Video Cable)': 'Yes', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'No', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali470 MP3', 'App Store Type': 'Google Play Store', 'NFC Support': 'No', 'Picture And Picture (PAP)': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/vu-50-inch-led-ultra-hd-4k-tv-pixelight-50-qdv-price-in-india-92068,https://i.gadgets360cdn.com/products/large/50-QDV-416x268-1587367955.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu,"Vu 50 Inches Ultra HD (4K) LED Smart TV (Pixelight 50-QDV, Black)",50 Inch LED Ultra HD (4K) TV (Pixelight 50-QDV),50-QDV,"₹ 26,360",970,9,2,6,20,63,50 inch,LED,4K,2,3,Yes,Black,24W,2,3840x2160,"130W, 0.5W (Standby)",Yes,1129mm x 654mm x 84mm,Yes,13.3kg,1129mm x 719mm x 256mm,60,2019,13.6kg,No,16:09,1000000:1 (Static) 1000000:1 (Dynamic),No,,No,,178 Degree,Dolby Digital and DTS True Sound,1,Box Speaker,Yes,Yes,"MPEG1, MPEG2, MPEG4, H.263, H.264, H.265, AVS, MVC, VP8, VP9",Linux,Pixelight,450 nits,"DTS Truebass, DTS TruSurround, DTS Dialog Clarity","{'Wi-Fi Type': '802.11b,g,n', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi End Processor', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Dual Core', 'Battery Type': 'AAA', 'Number of Cores': 'dual-core', 'Supported App - Hotstar': 'No', 'Storage Capacity': '4GB', 'Audio Out': 'Optical, ARC, Headphone out', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/cloudwalker-32-inch-led-hd-ready-tv-32sh04x-9295,https://i.gadgets360cdn.com/products/televisions/large/1548153102_832_cloudwalker_32-inch-led-hd-ready-tv-32sh04x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,CloudWalker,CloudWalker Cloud TV 80cm (32 inch) HD Ready LED Smart TV(32SH04X),32 Inch LED HD Ready TV (32SH04X),32SH04X,"₹ 11,999",44,7,0,5,23,66,32 inch,LED,HD-Ready,2,3,Yes,Black,20 W,2,1366x768,"65 W, 0.5 W (Standby)",Yes,735 mm x 440 mm x 85 mm,Yes,4.1 Kg,735 mm x 475 mm x 190 mm,60,2018,4.2 Kg,No,16:09,4000:01:00 (Static) (Static).4000:1 (Typical) (Dynamic),No,Yes,No,Yes,178 Degree,In-built Boom-Box Speakers,1,Box Speakers,Yes,Yes,".avi (MJPEG), .avi (Xvid,MPEG-2,MPEG-4,H.264), .mp4 (MPEG-2,MPEG-4,H.264), .ts/.trp (MPEG-2,H.264), .mkv/.mov (MPEG-4,H.264), .mpg (MPEG-1,MPEG-2), .dat (MPEG-1), .vob (MPEG-2), .rm/.rmvb (RV,RV,RV10)",Android,Cloud TV,250 nits,Yes,"{'Supported Audio Formats': 'MP3, M4A, WMA, AAC', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Table Top', 'Screen Mirroring': 'Yes', 'Processor': 'Quad-Core ARM Cortex Processor', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'PC Audio In': 'Yes', 'Storage Capacity': '8GB', 'PC D-sub': 'Yes', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali-450'}"
https://gadgets.ndtv.com/vu-55-inch-led-ultra-hd-4k-tv-pixelight-55-qdv-price-in-india-92069,https://i.gadgets360cdn.com/products/large/55-QDV-416x268-1587368775.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Vu,"Vu 55 Inches Ultra HD (4K) LED Smart TV (Pixelight 55-QDV, Black)",55 Inch LED Ultra HD (4K) TV (Pixelight 55-QDV),55-QDV,"₹ 29,950",30,0,3,3,30,63,55 inch,LED,4K,2,3,Yes,,24W,2,3840x2160,"160W, 0.5W (Standby)",Yes,1129mm x 715mm x 83mm,Yes,16.7kg,1233mm x 760mm x 249mm,60,2019,17kg,No,16:09,1000000:1 (Static) 1000000:1 (Dynamic),No,,No,,178 Degree,Dolby Digital and DTS True Sound,1,Box Speaker,Yes,Yes,"MPEG1, MPEG2, MPEG4, H.263, H.264, H.265, AVS, MVC, VP8, VP9",Android,Pixelight,450 nits,"DTS Truebass, DTS TruSurround, DTS Dialog Clarity","{'Wi-Fi Type': '802.11b,g,n', 'Supported Audio Formats': 'MP3, PCM, AC3, AAC, COOK, MP2', 'Picture Engine': 'Hi End Processor', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Dual Core', 'Battery Type': 'AAA', 'Number of Cores': 'dual-core', 'Supported App - Hotstar': 'No', 'Storage Capacity': '4GB', 'Audio Out': 'Optical, ARC, Headphone out', 'RAM': '1GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Dual Core', 'NFC Support': 'No', 'Remote Charger': 'No'}"
https://gadgets.ndtv.com/iffalcon-65-inch-led-ultra-hd-4k-smart-android-tv-65k3a-price-in-india-91786,https://i.gadgets360cdn.com/products/large/iffalcon-65k3a-original-imafm59fkg8njeau-416x313-1584526405.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iFFalcon,"iFFalcon 65 Inches Ultra HD (4K) LED Smart Android TV (65K3A, Black)",65-inch LED Ultra HD (4K) Smart Android TV (65K3A),65K3A,"₹ 58,499",116,3,2,3,23,68,65 inch,LED,,2,3,Yes,Black,20W,2,3840x2160,"145W, 0.5W (Standby)",,144.54 cm x 6.51 cm,Yes,,,60,2019,,No,16:09,5000:1 (Static),No,,No,,178 Degree,Dolby Audio MS 12,1,Stereo Box Speaker,Yes,Yes,"H.265/H.264, MPEG1/2/4, WMV, VC1, VP8, VP9",Android Based,AI Powered K3A,300 nits,Stereo Sound,"{'Wi-Fi Type': '2.4GHz, 802.11 b/g/n 2T2R', 'Supported Audio Formats': 'MP3, WMA, AAC, AC3, AC4', 'Picture Engine': 'AI-Picture Engine - AI Scene Picture Enhancement Technology, AI Brightness Precision Control, AI dynamic Picture Adjustment', 'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Digital Audio Output': 'Yes', 'Operating System Present': 'Yes', 'Stand Type': 'Wall Mount and Table Top Stand', 'Screen Mirroring': 'Yes', 'Processor': 'Amlogic 64bit A55x4 900MHz~1.1GHz', 'Battery Type': 'AAA', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'Storage Capacity': '16GB', 'Audio Out': 'Yes', 'RAM': '2GB', 'Picture in Picture (PIP)': 'No', 'Smart Remote': 'Yes', 'Digital Noise Filter': 'Yes', 'Graphic Processor': 'Mali470x3 600MHz-800MHz', 'App Store Type': 'Google Play Store', 'NFC Support': 'No', 'Remote Charger': 'No', 'Stand Features': 'Wall Mount Included', 'Other Power Features': 'Instant Power ON, ECO Energy Efficiency'}"
